Rk,Gtm,Date,Year,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
1,1,04/05/18,2010,HOU,W5-2,9,9,2,2,0,0,9,0,0,2,36,138,97,1,0,0,0,36,2,0,0,0,0,0,0,4,Tim Welke,T.Lincecum (99-76-W) S.Romo (99) B.Medders (99) B.Wilson (99-Sv)
2,2,04/06/18,2010,HOU,W3-0,9,4,0,0,0,2,7,0,1,1,34,131,87,3,0,0,0,31,2,0,0,0,0,0,0,5,Tim Timmons,B.Zito (99-70-W) W.Joaquin (99-H) D.Runzler (99-H) S.Romo (0-H) B.Wilson (0-Sv)
3,3,04/07/18,2010,HOU,W10-4,9,7,4,3,1,0,6,0,0,1.67,35,127,87,1,1,0,0,35,2,1,0,0,0,1,0,3,D.J. Reyburn,M.Cain (99-53) J.Affeldt (99-BW) G.Mota (99)
4,4,04/09/18,2010,ATL,W5-4,13,11,4,4,0,9,14,0,0,2.02,57,227,132,7,2,0,1,46,1,0,0,2,0,0,1,8,Tim Tschida,J.Sanchez (99-41) B.Medders (3) G.Mota (1) W.Joaquin (2) D.Runzler (2) B.Wilson (2) S.Romo (2) J.Affeldt (1-W)
5,5,04/10/18,2010,ATL,L2-7,9,10,7,6,1,6,5,1,1,2.76,45,161,95,6,2,1,0,37,2,0,1,1,0,2,1,5,Bob Davidson,T.Wellemeyer (99-43-L) B.Medders (0) D.Runzler (0) W.Joaquin (0) G.Mota (0)
6,6,04/11/18,2010,ATL,W6-3,9,6,3,3,0,1,11,2,0,2.79,34,138,94,0,0,0,0,33,2,0,0,0,0,0,0,2,Alfonso Marquez,T.Lincecum (5-68-W) J.Affeldt (1-Sv)
7,7,04/12/18,2010,PIT,W9-3,9,7,3,3,0,3,5,0,0,2.82,37,140,83,2,1,1,0,33,1,0,0,1,0,0,0,4,Gary Cederstrom,B.Zito (5-48-W) S.Romo (2) D.Runzler (1) G.Mota (1)
8,8,04/13/18,2010,PIT,L5-6,9,9,6,5,1,3,5,2,0,3.08,38,131,77,0,0,2,0,35,1,1,0,0,0,0,1,4,Ed Hickox,M.Cain (5-51) S.Romo (0) J.Affeldt (1-L) B.Medders (2)
9,9,04/14/18,2010,PIT,W6-0,9,3,0,0,0,4,13,0,0,2.75,33,126,80,0,0,0,0,29,1,0,0,0,0,0,1,2,Fieldin Culbreth,J.Sanchez (4-84-W) B.Wilson (4)
10,10,04/16/18,2010,LAD,L8-10,8,12,10,10,0,8,4,3,0,3.48,42,157,92,0,0,0,1,34,0,0,0,0,0,0,1,3,Dan Iassogna,T.Wellemeyer (5-23-L) W.Joaquin (5) B.Medders (2)
11,11,04/17/18,2010,LAD,W9-0,9,8,0,0,0,2,8,0,0,3.18,37,156,104,0,0,0,0,35,1,0,0,0,0,0,0,4,Dale Scott,T.Lincecum (5-69-W) G.Mota (4) D.Runzler (4) B.Medders (0)
12,12,04/18/18,2010,LAD,L1-2,8,5,2,2,0,1,4,1,0,3.11,29,116,77,1,1,0,1,28,0,0,0,0,0,0,0,2,Jerry Meals,B.Zito (5-68) S.Romo (4-BL)
13,13,04/19/18,2010,SDP,L2-3,9,10,3,3,0,2,5,1,0,3.1,38,134,84,1,0,1,0,31,1,1,0,3,2,0,0,4,Gerry Davis,M.Cain (5-53) D.Runzler (1) G.Mota (1) J.Affeldt (5-L)
14,14,04/20/18,2010,SDP,L0-1,8,1,1,1,0,3,11,0,0,2.98,28,119,73,0,0,4,0,24,0,0,1,0,1,0,0,2,Brian Knight,J.Sanchez (5-78-L) S.Romo (1)
15,15,04/21/18,2010,SDP,L2-5,8,9,5,5,0,4,3,2,0,3.13,38,153,84,0,0,2,0,32,2,0,0,2,0,1,0,4,Greg Gibson,T.Wellemeyer (4-47-L) D.Runzler (1) G.Mota (1) B.Wilson (6)
16,16,04/23/18,2010,STL,W4-1,9,8,1,1,0,3,12,0,0,3,37,157,96,0,0,2,0,34,2,0,0,0,0,0,1,3,Chad Fairchild,T.Lincecum (5-66-W) S.Romo (2-H) B.Wilson (1-Sv)
17,17,04/24/18,2010,STL,W2-0,9,4,0,0,0,3,10,0,0,2.82,32,130,83,0,0,0,1,29,0,0,0,0,0,0,1,2,Mike Reilly,B.Zito (5-83-W) B.Wilson (0-Sv)
18,18,04/25/18,2010,STL,L0-2,9,9,2,2,0,2,7,1,0,2.78,37,160,107,1,0,2,0,33,1,0,1,1,1,0,2,5,Eric Cooper,M.Cain (5-50-L) D.Runzler (3) G.Mota (3) J.Affeldt (5) B.Medders (7)
19,19,04/26/18,2010,PHI,W5-1,9,4,1,1,0,7,11,0,1,2.68,39,162,102,1,0,2,0,31,2,0,0,0,0,0,0,4,CB Bucknor,J.Sanchez (5-58-W) G.Mota (0-H) J.Affeldt (0-H) S.Romo (2)
20,20,04/27/18,2010,PHI,W6-2,9,5,2,2,0,3,7,0,0,2.65,32,122,78,1,1,1,0,27,1,0,0,1,1,0,1,3,Doug Eddings,T.Wellemeyer (5-64-W) D.Runzler (1) B.Medders (1)
21,21,04/28/18,2010,PHI,L6-7,11,8,7,6,1,4,14,1,2,2.78,47,168,109,4,1,0,0,39,3,0,1,2,0,1,1,4,Dana DeMuth,T.Lincecum (4-79) B.Wilson (3-BSv) J.Affeldt (1) S.Romo (1-L)
22,22,04/30/18,2010,COL,W5-2,9,6,2,2,0,3,5,0,0,2.75,35,135,84,1,0,3,0,31,2,0,0,1,0,0,1,3,Alfonso Marquez,B.Zito (5-66-W) S.Romo (1-H) J.Affeldt (1-Sv)
23,23,05/01/18,2010,COL,W6-1,9,3,1,1,0,3,9,0,0,2.67,33,147,100,0,0,1,0,30,1,0,0,0,0,0,0,2,Tim Timmons,M.Cain (5-85-W) G.Mota (4)
24,24,05/02/18,2010,COL,L1-4,9,8,4,4,0,7,9,0,1,2.72,41,167,101,2,2,3,1,33,0,0,0,0,0,1,1,4,Tim Tschida,J.Sanchez (5-45-L) B.Medders (4) T.Wellemeyer (4) D.Runzler (4)
25,25,05/04/18,2010,FLA,W9-6,12,9,6,6,0,3,20,2,0,2.82,48,190,127,2,0,1,0,45,0,0,1,0,0,0,0,6,Marty Foster,T.Lincecum (5-67) S.Romo (3-BSv) J.Affeldt (3) B.Wilson (5) D.Runzler (1-W) G.Mota (2-Sv)
26,26,05/05/18,2010,FLA,W3-2,9,9,2,2,0,1,7,0,1,2.79,37,129,95,3,0,0,0,35,1,0,0,0,0,0,1,3,Gary Cederstrom,B.Zito (4-62-W) S.Romo (0-H) B.Wilson (0-Sv)
27,27,05/06/18,2010,FLA,W6-3,9,5,3,3,0,5,8,0,0,2.79,36,145,92,6,1,0,0,30,2,0,0,0,1,0,1,5,Ed Hickox,M.Cain (4-64-W) D.Runzler (1) G.Mota (1-H) J.Affeldt (1) B.Wilson (0-Sv)
28,28,05/07/18,2010,NYM,L4-6,8.1,8,6,6,0,3,5,4,0,2.91,35,145,91,0,0,3,1,32,1,0,0,0,0,0,0,3,Hunter Wendelstedt,J.Sanchez (4-49) D.Bautista (99) S.Romo (1-L)
29,29,05/08/18,2010,NYM,L4-5,10,7,5,5,0,7,9,1,1,2.97,44,169,100,1,0,1,1,34,1,1,1,1,1,0,0,4,Angel Hernandez,T.Wellemeyer (5-40) B.Medders (5) J.Affeldt (1) G.Mota (1-L)
30,30,05/09/18,2010,NYM,W6-5,9,11,5,5,0,5,14,0,0,3.04,43,187,110,4,3,2,0,36,1,0,1,1,1,1,1,5,Paul Schrieber,T.Lincecum (4-56) D.Runzler (2-H) S.Romo (1-BW) J.Affeldt (0-H) B.Wilson (2-Sv)
