id,value
adam,
adam.abel,4000
adam.cain,
adam.cain.enoch,
adam.cain.enoch.irad,
adam.cain.enoch.irad.mehujael,
adam.cain.enoch.irad.mehujael.methushael,
adam.cain.enoch.irad.mehujael.methushael.lamech,3000
adam.seth,
adam.seth.enosh,
adam.seth.enosh.kenan,
adam.seth.enosh.kenan.mahalalel,
adam.seth.enosh.kenan.mahalalel.jared,
adam.seth.enosh.kenan.mahalalel.jared.enoch,
adam.seth.enosh.kenan.mahalalel.jared.enoch.methuselah,
adam.seth.enosh.kenan.mahalalel.jared.enoch.methuselah.lamech,
adam.seth.enosh.kenan.mahalalel.jared.enoch.methuselah.lamech.noah,
