Round,Hole,Par_Hole,Yards,Score_Ave,Eagle,Birdie,Par,Bogey,Double Bogey,Other,Plus_Minus_Ave
1,1,4,445,4.26,0,5,55,26,1,0,0.26
1,2,5,575,4.6,1,40,40,5,1,0,-0.4
1,3,4,350,3.98,0,17,56,13,1,0,-0.02
1,4,3,240,3.25,0,6,55,24,2,0,0.25
1,5,4,495,4.28,0,4,57,24,2,0,0.28
1,6,3,180,3.03,0,14,58,13,2,0,0.03
1,7,4,450,4.23,0,6,57,22,2,0,0.23
1,8,5,570,4.63,1,35,46,5,0,0,-0.37
1,9,4,460,4.12,0,9,59,19,0,0,0.12
1,10,4,495,4.36,0,7,49,26,3,2,0.36
1,11,4,505,4.35,0,7,47,31,1,1,0.35
1,12,3,155,3.05,0,14,58,12,3,0,0.05
1,13,5,510,4.55,4,41,35,5,1,1,-0.45
1,14,4,440,4.23,0,6,56,24,1,0,0.23
1,15,5,530,4.58,3,43,33,5,2,1,-0.43
1,16,3,170,2.91,0,22,54,8,3,0,-0.09
1,17,4,440,4.13,0,8,62,15,2,0,0.13
1,18,4,465,4.36,0,5,50,28,4,0,0.36
2,1,4,445,4.16,0,8,57,22,0,0,0.16
2,2,5,575,4.77,0,32,45,8,2,0,-0.23
2,3,4,350,3.91,0,16,63,8,0,0,-0.09
2,4,3,240,3.08,0,7,67,12,1,0,0.08
2,5,4,495,4.35,0,5,49,31,2,0,0.35
2,6,3,180,3,0,8,71,8,0,0,0
2,7,4,450,4.09,1,7,63,15,1,0,0.09
2,8,5,570,4.67,1,32,49,5,0,0,-0.33
2,9,4,460,4.13,0,9,59,18,1,0,0.13
2,10,4,495,4.23,0,7,56,21,3,0,0.23
2,11,4,505,4.32,0,1,60,23,3,0,0.32
2,12,3,155,2.94,0,17,59,10,1,0,-0.06
2,13,5,510,4.52,6,42,28,10,1,0,-0.48
2,14,4,440,4.17,0,11,52,22,2,0,0.17
2,15,5,530,4.45,5,42,36,4,0,0,-0.55
2,16,3,170,2.98,0,11,67,9,0,0,-0.02
2,17,4,440,4.05,0,10,64,12,1,0,0.05
2,18,4,465,4.17,0,10,55,19,3,0,0.17
3,1,4,445,4.03,0,6,51,8,0,0,0.03
3,2,5,575,4.65,0,30,29,5,1,0,-0.35
3,3,4,350,3.65,0,25,38,2,0,0,-0.35
3,4,3,240,3.28,0,4,40,20,1,0,0.28
3,5,4,495,4.43,0,1,36,27,1,0,0.43
3,6,3,180,2.91,0,16,40,8,1,0,-0.09
3,7,4,450,4.15,0,10,35,20,0,0,0.15
3,8,5,570,4.63,1,26,34,4,0,0,-0.37
3,9,4,460,3.91,0,13,45,7,0,0,-0.09
3,10,4,495,4.08,0,10,41,13,1,0,0.08
3,11,4,505,4.14,0,5,47,12,1,0,0.14
3,12,3,155,2.92,0,15,41,8,1,0,-0.08
3,13,5,510,4.39,3,39,18,5,0,0,-0.62
3,14,4,440,3.85,0,19,37,9,0,0,-0.15
3,15,5,530,4.52,4,32,23,3,3,0,-0.48
3,16,3,170,3,0,9,47,9,0,0,0
3,17,4,440,4,0,11,44,9,1,0,0
3,18,4,465,4.25,0,6,39,18,2,0,0.25
4,1,4,445,3.95,0,14,41,9,1,0,-0.05
4,2,5,575,4.69,0,23,39,3,0,0,-0.31
4,3,4,350,4.02,0,11,42,12,0,0,0.02
4,4,3,240,3.25,0,3,45,15,2,0,0.25
4,5,4,495,4.31,0,3,40,21,1,0,0.31
4,6,3,180,3.06,0,10,41,14,0,0,0.06
4,7,4,450,4.02,0,18,31,13,3,0,0.02
4,8,5,570,4.57,1,29,32,3,0,0,-0.43
4,9,4,460,4,0,10,45,10,0,0,0
4,10,4,495,4.29,0,4,40,19,2,0,0.29
4,11,4,505,4.12,0,8,43,12,2,0,0.12
4,12,3,155,3.34,0,6,42,8,7,2,0.34
4,13,5,510,4.4,4,36,21,3,1,0,-0.6
4,14,4,440,3.99,0,11,44,10,0,0,-0.02
4,15,5,530,4.65,3,31,20,8,3,0,-0.35
4,16,3,170,2.72,2,21,37,3,2,0,-0.28
4,17,4,440,4,0,10,45,10,0,0,0
4,18,4,465,4.09,0,10,40,14,1,0,0.09
