Hole,Round,Result,Players
1,1,Birdie,"Xander Schauffele,ÿJustin Harding,ÿTakumi Kanaya,ÿJ.B. Holmes,ÿBrandt Snedeker"
1,1,Par,"Tiger Woods,ÿDustin Johnson,ÿBrooks Koepka,ÿTony Finau,ÿFrancesco Molinari,ÿWebb Simpson,ÿPatrick Cantlay,ÿRickie Fowler,ÿJon Rahm,ÿMatt Kuchar,ÿIan Poulter,ÿJustin Thomas,ÿBubba Watson,ÿPatton Kizzire,ÿPhil Mickelson,ÿAdam Scott,ÿLucas Bjerregaard,ÿSi Woo Kim,ÿKevin Kisner,ÿThorbjorn Olesen,ÿBryson DeChambeau,ÿLouis Oosthuizen,ÿViktor Hovland,ÿTommy Fleetwood,ÿAlvaro Ortiz,ÿPatrick Reed,ÿHenrik Stenson,ÿKevin Tway,ÿJimmy Walker,ÿHaotong Li,ÿKeith Mitchell,ÿCorey Conners,ÿKevin Na,ÿKiradech Aphibarnrat,ÿTrevor Immelman,ÿMartin Kaymer,ÿEddie Pepperell,ÿDevon Bling,ÿTyrrell Hatton,ÿBilly Horschel,ÿEmiliano Grillo,ÿBernhard Langer,ÿAlex Noren,ÿSergio Garcia,ÿSandy Lyle,ÿKevin O'Connell,ÿJustin Rose,ÿDanny Willett,ÿFred Couples,ÿCharl Schwartzel,ÿShugo Imahira,ÿLarry Mize,ÿMichael Kim,ÿIan Woosnam,ÿJose Maria Olazabal"
1,1,Bogey,"Jason Day,ÿAaron Wise,ÿMatthew Fitzpatrick,ÿRory McIlroy,ÿJordan Spieth,ÿKyle Stanley,ÿCharley Hoffman,ÿCharles Howell III,ÿHideki Matsuyama,ÿGary Woodland,ÿRafa Cabrera Bello,ÿAndrew Landry,ÿMarc Leishman,ÿCameron Smith,ÿBranden Grace,ÿZach Johnson,ÿSatoshi Kodaira,ÿStewart Cink,ÿMike Weir,ÿAdam Long,ÿShane Lowry,ÿJovan Rebula,ÿMatt Wallace,ÿPaul Casey,ÿVijay Singh,ÿAngel Cabrera"
1,1,Double Bogey,Keegan Bradley
1,2,Birdie,"Brooks Koepka,ÿCharley Hoffman,ÿLouis Oosthuizen,ÿMartin Kaymer,ÿBilly Horschel,ÿBernhard Langer,ÿJustin Rose,ÿShugo Imahira"
1,2,Par,"Tiger Woods,ÿJason Day,ÿTony Finau,ÿFrancesco Molinari,ÿWebb Simpson,ÿPatrick Cantlay,ÿRickie Fowler,ÿJon Rahm,ÿJustin Harding,ÿJustin Thomas,ÿBubba Watson,ÿAaron Wise,ÿPhil Mickelson,ÿAdam Scott,ÿMatthew Fitzpatrick,ÿSi Woo Kim,ÿKevin Kisner,ÿRory McIlroy,ÿThorbjorn Olesen,ÿKyle Stanley,ÿBryson DeChambeau,ÿViktor Hovland,ÿCharles Howell III,ÿHideki Matsuyama,ÿGary Woodland,ÿRafa Cabrera Bello,ÿAlvaro Ortiz,ÿPatrick Reed,ÿHenrik Stenson,ÿJimmy Walker,ÿKeegan Bradley,ÿHaotong Li,ÿKeith Mitchell,ÿCorey Conners,ÿAndrew Landry,ÿKiradech Aphibarnrat,ÿMarc Leishman,ÿTrevor Immelman,ÿEddie Pepperell,ÿZach Johnson,ÿTakumi Kanaya,ÿSatoshi Kodaira,ÿEmiliano Grillo,ÿAlex Noren,ÿStewart Cink,ÿSergio Garcia,ÿSandy Lyle,ÿMike Weir,ÿDanny Willett,ÿFred Couples,ÿAdam Long,ÿBrandt Snedeker,ÿShane Lowry,ÿJovan Rebula,ÿPaul Casey,ÿMichael Kim,ÿVijay Singh"
1,2,Bogey,"Dustin Johnson,ÿXander Schauffele,ÿMatt Kuchar,ÿIan Poulter,ÿPatton Kizzire,ÿLucas Bjerregaard,ÿJordan Spieth,ÿTommy Fleetwood,ÿKevin Tway,ÿKevin Na,ÿCameron Smith,ÿDevon Bling,ÿTyrrell Hatton,ÿBranden Grace,ÿJ.B. Holmes,ÿKevin O'Connell,ÿCharl Schwartzel,ÿLarry Mize,ÿMatt Wallace,ÿIan Woosnam,ÿAngel Cabrera,ÿJose Maria Olazabal"
1,3,Birdie,"Tony Finau,ÿPatrick Cantlay,ÿJustin Thomas,ÿAdam Scott,ÿJordan Spieth,ÿCharley Hoffman"
1,3,Par,"Tiger Woods,ÿDustin Johnson,ÿXander Schauffele,ÿJason Day,ÿFrancesco Molinari,ÿWebb Simpson,ÿJon Rahm,ÿJustin Harding,ÿMatt Kuchar,ÿIan Poulter,ÿBubba Watson,ÿAaron Wise,ÿPatton Kizzire,ÿPhil Mickelson,ÿLucas Bjerregaard,ÿMatthew Fitzpatrick,ÿSi Woo Kim,ÿKevin Kisner,ÿRory McIlroy,ÿThorbjorn Olesen,ÿKyle Stanley,ÿBryson DeChambeau,ÿLouis Oosthuizen,ÿViktor Hovland,ÿCharles Howell III,ÿHideki Matsuyama,ÿRafa Cabrera Bello,ÿTommy Fleetwood,ÿAlvaro Ortiz,ÿPatrick Reed,ÿHenrik Stenson,ÿJimmy Walker,ÿKeegan Bradley,ÿHaotong Li,ÿCorey Conners,ÿAndrew Landry,ÿKevin Na,ÿKiradech Aphibarnrat,ÿMarc Leishman,ÿMartin Kaymer,ÿEddie Pepperell,ÿCameron Smith,ÿDevon Bling,ÿTyrrell Hatton,ÿBilly Horschel,ÿBranden Grace,ÿZach Johnson,ÿTakumi Kanaya,ÿEmiliano Grillo,ÿJ.B. Holmes,ÿBernhard Langer"
1,3,Bogey,"Brooks Koepka,ÿRickie Fowler,ÿGary Woodland,ÿKevin Tway,ÿKeith Mitchell,ÿTrevor Immelman,ÿSatoshi Kodaira,ÿAlex Noren"
