,Hole,Round,Birdie,Bogey,Double Bogey,Eagle,Other,Par
1,1,1,"Xander Schauffele, Justin Harding, Takumi Kanaya, J.B. Holmes, Brandt Snedeker","Jason Day, Aaron Wise, Matthew Fitzpatrick, Rory McIlroy, Jordan Spieth, Kyle Stanley, Charley Hoffman, Charles Howell III, Hideki Matsuyama, Gary Woodland, Rafa Cabrera Bello, Andrew Landry, Marc Leishman, Cameron Smith, Branden Grace, Zach Johnson, Satoshi Kodaira, Stewart Cink, Mike Weir, Adam Long, Shane Lowry, Jovan Rebula, Matt Wallace, Paul Casey, Vijay Singh, Angel Cabrera",Keegan Bradley,NA,NA,"Tiger Woods, Dustin Johnson, Brooks Koepka, Tony Finau, Francesco Molinari, Webb Simpson, Patrick Cantlay, Rickie Fowler, Jon Rahm, Matt Kuchar, Ian Poulter, Justin Thomas, Bubba Watson, Patton Kizzire, Phil Mickelson, Adam Scott, Lucas Bjerregaard, Si Woo Kim, Kevin Kisner, Thorbjorn Olesen, Bryson DeChambeau, Louis Oosthuizen, Viktor Hovland, Tommy Fleetwood, Alvaro Ortiz, Patrick Reed, Henrik Stenson, Kevin Tway, Jimmy Walker, Haotong Li, Keith Mitchell, Corey Conners, Kevin Na, Kiradech Aphibarnrat, Trevor Immelman, Martin Kaymer, Eddie Pepperell, Devon Bling, Tyrrell Hatton, Billy Horschel, Emiliano Grillo, Bernhard Langer, Alex Noren, Sergio Garcia, Sandy Lyle, Kevin O'Connell, Justin Rose, Danny Willett, Fred Couples, Charl Schwartzel, Shugo Imahira, Larry Mize, Michael Kim, Ian Woosnam, Jose Maria Olazabal"
2,1,2,"Brooks Koepka, Charley Hoffman, Louis Oosthuizen, Martin Kaymer, Billy Horschel, Bernhard Langer, Justin Rose, Shugo Imahira","Dustin Johnson, Xander Schauffele, Matt Kuchar, Ian Poulter, Patton Kizzire, Lucas Bjerregaard, Jordan Spieth, Tommy Fleetwood, Kevin Tway, Kevin Na, Cameron Smith, Devon Bling, Tyrrell Hatton, Branden Grace, J.B. Holmes, Kevin O'Connell, Charl Schwartzel, Larry Mize, Matt Wallace, Ian Woosnam, Angel Cabrera, Jose Maria Olazabal",NA,NA,NA,"Tiger Woods, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Patrick Cantlay, Rickie Fowler, Jon Rahm, Justin Harding, Justin Thomas, Bubba Watson, Aaron Wise, Phil Mickelson, Adam Scott, Matthew Fitzpatrick, Si Woo Kim, Kevin Kisner, Rory McIlroy, Thorbjorn Olesen, Kyle Stanley, Bryson DeChambeau, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Gary Woodland, Rafa Cabrera Bello, Alvaro Ortiz, Patrick Reed, Henrik Stenson, Jimmy Walker, Keegan Bradley, Haotong Li, Keith Mitchell, Corey Conners, Andrew Landry, Kiradech Aphibarnrat, Marc Leishman, Trevor Immelman, Eddie Pepperell, Zach Johnson, Takumi Kanaya, Satoshi Kodaira, Emiliano Grillo, Alex Noren, Stewart Cink, Sergio Garcia, Sandy Lyle, Mike Weir, Danny Willett, Fred Couples, Adam Long, Brandt Snedeker, Shane Lowry, Jovan Rebula, Paul Casey, Michael Kim, Vijay Singh"
3,1,3,"Tony Finau, Patrick Cantlay, Justin Thomas, Adam Scott, Jordan Spieth, Charley Hoffman","Brooks Koepka, Rickie Fowler, Gary Woodland, Kevin Tway, Keith Mitchell, Trevor Immelman, Satoshi Kodaira, Alex Noren",NA,NA,NA,"Tiger Woods, Dustin Johnson, Xander Schauffele, Jason Day, Francesco Molinari, Webb Simpson, Jon Rahm, Justin Harding, Matt Kuchar, Ian Poulter, Bubba Watson, Aaron Wise, Patton Kizzire, Phil Mickelson, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Kevin Kisner, Rory McIlroy, Thorbjorn Olesen, Kyle Stanley, Bryson DeChambeau, Louis Oosthuizen, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Rafa Cabrera Bello, Tommy Fleetwood, Alvaro Ortiz, Patrick Reed, Henrik Stenson, Jimmy Walker, Keegan Bradley, Haotong Li, Corey Conners, Andrew Landry, Kevin Na, Kiradech Aphibarnrat, Marc Leishman, Martin Kaymer, Eddie Pepperell, Cameron Smith, Devon Bling, Tyrrell Hatton, Billy Horschel, Branden Grace, Zach Johnson, Takumi Kanaya, Emiliano Grillo, J.B. Holmes, Bernhard Langer"
4,1,4,"Xander Schauffele, Patrick Cantlay, Rickie Fowler, Justin Harding, Patton Kizzire, Rory McIlroy, Jordan Spieth, Louis Oosthuizen, Viktor Hovland, Jimmy Walker, Keith Mitchell, Andrew Landry, Eddie Pepperell, Bernhard Langer","Phil Mickelson, Lucas Bjerregaard, Thorbjorn Olesen, Charley Hoffman, Kevin Tway, Keegan Bradley, Marc Leishman, Zach Johnson, Alex Noren",Tyrrell Hatton,NA,NA,"Tiger Woods, Dustin Johnson, Brooks Koepka, Jason Day, Tony Finau, Francesco Molinari, Webb Simpson, Jon Rahm, Matt Kuchar, Ian Poulter, Justin Thomas, Bubba Watson, Aaron Wise, Adam Scott, Matthew Fitzpatrick, Si Woo Kim, Kevin Kisner, Kyle Stanley, Bryson DeChambeau, Charles Howell III, Hideki Matsuyama, Gary Woodland, Rafa Cabrera Bello, Tommy Fleetwood, Alvaro Ortiz, Patrick Reed, Henrik Stenson, Haotong Li, Corey Conners, Kevin Na, Kiradech Aphibarnrat, Trevor Immelman, Martin Kaymer, Cameron Smith, Devon Bling, Billy Horschel, Branden Grace, Takumi Kanaya, Satoshi Kodaira, Emiliano Grillo, J.B. Holmes"
5,2,1,"Tiger Woods, Dustin Johnson, Brooks Koepka, Xander Schauffele, Jason Day, Francesco Molinari, Patrick Cantlay, Matt Kuchar, Ian Poulter, Aaron Wise, Phil Mickelson, Lucas Bjerregaard, Kevin Kisner, Jordan Spieth, Kyle Stanley, Bryson DeChambeau, Charley Hoffman, Louis Oosthuizen, Viktor Hovland, Gary Woodland, Tommy Fleetwood, Kevin Tway, Keegan Bradley, Haotong Li, Andrew Landry, Kevin Na, Trevor Immelman, Martin Kaymer, Eddie Pepperell, Tyrrell Hatton, Branden Grace, Takumi Kanaya, Emiliano Grillo, Bernhard Langer, Alex Noren, Stewart Cink, Sandy Lyle, Danny Willett, Fred Couples, Michael Kim","Webb Simpson, Hideki Matsuyama, Billy Horschel, Shugo Imahira, Matt Wallace",Jose Maria Olazabal,Patton Kizzire,NA,"Tony Finau, Rickie Fowler, Jon Rahm, Justin Harding, Justin Thomas, Bubba Watson, Adam Scott, Matthew Fitzpatrick, Si Woo Kim, Rory McIlroy, Thorbjorn Olesen, Charles Howell III, Rafa Cabrera Bello, Alvaro Ortiz, Patrick Reed, Henrik Stenson, Jimmy Walker, Keith Mitchell, Corey Conners, Kiradech Aphibarnrat, Marc Leishman, Cameron Smith, Devon Bling, Zach Johnson, Satoshi Kodaira, J.B. Holmes, Sergio Garcia, Kevin O'Connell, Justin Rose, Mike Weir, Adam Long, Charl Schwartzel, Brandt Snedeker, Shane Lowry, Larry Mize, Jovan Rebula, Paul Casey, Vijay Singh, Ian Woosnam, Angel Cabrera"
6,2,2,"Xander Schauffele, Jason Day, Webb Simpson, Jon Rahm, Matt Kuchar, Ian Poulter, Justin Thomas, Bubba Watson, Aaron Wise, Patton Kizzire, Phil Mickelson, Matthew Fitzpatrick, Jordan Spieth, Bryson DeChambeau, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Tommy Fleetwood, Patrick Reed, Keegan Bradley, Cameron Smith, Billy Horschel, Branden Grace, Zach Johnson, Emiliano Grillo, Alex Noren, Sandy Lyle, Justin Rose, Danny Willett, Charl Schwartzel, Matt Wallace, Ian Woosnam","Rory McIlroy, Jimmy Walker, Marc Leishman, Devon Bling, Satoshi Kodaira, Kevin O'Connell, Mike Weir, Jose Maria Olazabal","Brooks Koepka, Adam Long",NA,NA,"Tiger Woods, Dustin Johnson, Tony Finau, Francesco Molinari, Patrick Cantlay, Rickie Fowler, Justin Harding, Adam Scott, Lucas Bjerregaard, Si Woo Kim, Kevin Kisner, Thorbjorn Olesen, Kyle Stanley, Charley Hoffman, Louis Oosthuizen, Gary Woodland, Rafa Cabrera Bello, Alvaro Ortiz, Henrik Stenson, Kevin Tway, Haotong Li, Keith Mitchell, Corey Conners, Andrew Landry, Kevin Na, Kiradech Aphibarnrat, Trevor Immelman, Martin Kaymer, Eddie Pepperell, Tyrrell Hatton, Takumi Kanaya, J.B. Holmes, Bernhard Langer, Stewart Cink, Sergio Garcia, Fred Couples, Brandt Snedeker, Shugo Imahira, Shane Lowry, Larry Mize, Jovan Rebula, Paul Casey, Michael Kim, Vijay Singh, Angel Cabrera"
7,2,3,"Dustin Johnson, Brooks Koepka, Xander Schauffele, Tony Finau, Webb Simpson, Rickie Fowler, Justin Harding, Aaron Wise, Phil Mickelson, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Thorbjorn Olesen, Hideki Matsuyama, Gary Woodland, Tommy Fleetwood, Henrik Stenson, Kevin Tway, Haotong Li, Keith Mitchell, Corey Conners, Andrew Landry, Marc Leishman, Martin Kaymer, Cameron Smith, Tyrrell Hatton, Zach Johnson, Takumi Kanaya, Satoshi Kodaira, J.B. Holmes","Bryson DeChambeau, Rafa Cabrera Bello, Jimmy Walker, Kiradech Aphibarnrat, Devon Bling",Jordan Spieth,NA,NA,"Tiger Woods, Jason Day, Francesco Molinari, Patrick Cantlay, Jon Rahm, Matt Kuchar, Ian Poulter, Justin Thomas, Bubba Watson, Patton Kizzire, Adam Scott, Kevin Kisner, Rory McIlroy, Kyle Stanley, Charley Hoffman, Louis Oosthuizen, Viktor Hovland, Charles Howell III, Alvaro Ortiz, Patrick Reed, Keegan Bradley, Kevin Na, Trevor Immelman, Eddie Pepperell, Billy Horschel, Branden Grace, Emiliano Grillo, Bernhard Langer, Alex Noren"
8,2,4,"Brooks Koepka, Xander Schauffele, Jason Day, Patrick Cantlay, Jon Rahm, Matt Kuchar, Justin Thomas, Adam Scott, Matthew Fitzpatrick, Si Woo Kim, Rory McIlroy, Thorbjorn Olesen, Jordan Spieth, Charley Hoffman, Viktor Hovland, Kevin Na, Trevor Immelman, Martin Kaymer, Eddie Pepperell, Tyrrell Hatton, Billy Horschel, J.B. Holmes, Alex Noren","Justin Harding, Ian Poulter, Marc Leishman",NA,NA,NA,"Tiger Woods, Dustin Johnson, Tony Finau, Francesco Molinari, Webb Simpson, Rickie Fowler, Bubba Watson, Aaron Wise, Patton Kizzire, Phil Mickelson, Lucas Bjerregaard, Kevin Kisner, Kyle Stanley, Bryson DeChambeau, Louis Oosthuizen, Charles Howell III, Hideki Matsuyama, Gary Woodland, Rafa Cabrera Bello, Tommy Fleetwood, Alvaro Ortiz, Patrick Reed, Henrik Stenson, Kevin Tway, Jimmy Walker, Keegan Bradley, Haotong Li, Keith Mitchell, Corey Conners, Andrew Landry, Kiradech Aphibarnrat, Cameron Smith, Devon Bling, Branden Grace, Zach Johnson, Takumi Kanaya, Satoshi Kodaira, Emiliano Grillo, Bernhard Langer"
9,3,1,"Webb Simpson, Jon Rahm, Justin Harding, Justin Thomas, Lucas Bjerregaard, Rory McIlroy, Thorbjorn Olesen, Louis Oosthuizen, Rafa Cabrera Bello, Henrik Stenson, Jimmy Walker, Haotong Li, Billy Horschel, Satoshi Kodaira, Adam Long, Shane Lowry, Angel Cabrera","Xander Schauffele, Rickie Fowler, Jordan Spieth, Bryson DeChambeau, Viktor Hovland, Hideki Matsuyama, Corey Conners, Trevor Immelman, J.B. Holmes, Fred Couples, Paul Casey, Michael Kim, Vijay Singh",Martin Kaymer,NA,NA,"Tiger Woods, Dustin Johnson, Brooks Koepka, Jason Day, Tony Finau, Francesco Molinari, Patrick Cantlay, Matt Kuchar, Ian Poulter, Bubba Watson, Aaron Wise, Patton Kizzire, Phil Mickelson, Adam Scott, Matthew Fitzpatrick, Si Woo Kim, Kevin Kisner, Kyle Stanley, Charley Hoffman, Charles Howell III, Gary Woodland, Tommy Fleetwood, Alvaro Ortiz, Patrick Reed, Kevin Tway, Keegan Bradley, Keith Mitchell, Andrew Landry, Kevin Na, Kiradech Aphibarnrat, Marc Leishman, Eddie Pepperell, Cameron Smith, Devon Bling, Tyrrell Hatton, Branden Grace, Zach Johnson, Takumi Kanaya, Emiliano Grillo, Bernhard Langer, Alex Noren, Stewart Cink, Sergio Garcia, Sandy Lyle, Kevin O'Connell, Justin Rose, Mike Weir, Danny Willett, Charl Schwartzel, Brandt Snedeker, Shugo Imahira, Larry Mize, Jovan Rebula, Matt Wallace, Ian Woosnam, Jose Maria Olazabal"
10,3,2,"Brooks Koepka, Xander Schauffele, Francesco Molinari, Jon Rahm, Thorbjorn Olesen, Rafa Cabrera Bello, Tommy Fleetwood, Alvaro Ortiz, Patrick Reed, Henrik Stenson, Corey Conners, Zach Johnson, Fred Couples, Brandt Snedeker, Jovan Rebula, Michael Kim","Rickie Fowler, Branden Grace, J.B. Holmes, Sergio Garcia, Sandy Lyle, Justin Rose, Danny Willett, Jose Maria Olazabal",NA,NA,NA,"Tiger Woods, Dustin Johnson, Jason Day, Tony Finau, Webb Simpson, Patrick Cantlay, Justin Harding, Matt Kuchar, Ian Poulter, Justin Thomas, Bubba Watson, Aaron Wise, Patton Kizzire, Phil Mickelson, Adam Scott, Lucas Bjerregaard, Matthew Fitzpatrick, Si Woo Kim, Kevin Kisner, Rory McIlroy, Jordan Spieth, Kyle Stanley, Bryson DeChambeau, Charley Hoffman, Louis Oosthuizen, Viktor Hovland, Charles Howell III, Hideki Matsuyama, Gary Woodland, Kevin Tway, Jimmy Walker, Keegan Bradley, Haotong Li, Keith Mitchell, Andrew Landry, Kevin Na, Kiradech Aphibarnrat, Marc Leishman, Trevor Immelman, Martin Kaymer, Eddie Pepperell, Cameron Smith, Devon Bling, Tyrrell Hatton, Billy Horschel, Takumi Kanaya, Satoshi Kodaira, Emiliano Grillo, Bernhard Langer, Alex Noren, Stewart Cink, Kevin O'Connell, Mike Weir, Adam Long, Charl Schwartzel, Shugo Imahira, Shane Lowry, Larry Mize, Matt Wallace, Paul Casey, Vijay Singh, Ian Woosnam, Angel Cabrera"
